House number,Street name,Postal code,Latitude,Longitude
14,Gessnerallee,8001,47.3756281,8.5352614
1,Bahnhofbrücke,8001,47.3767316,8.5421608
146,Am Wasser,8049,47.3995257,8.4973287
7,Wengistrasse,8004,47.3750200,8.5228950
73,Bullingerstrasse,8004,47.3815928,8.5095448
32,Rautistrasse,8047,47.3811098,8.4921479
10,Albisstrasse,8038,47.3447855,8.5330027
64,Widmerstrasse,8038,47.3361381,8.5322408
81,Albisstrasse,8038,47.3409666,8.5306007
15,Alte Kalchbühlstrasse,8038,47.3400698,8.5305461
50,Schluhenweg,8041,47.3281042,8.5255473
118,Kalchbühlstrasse,8038,47.3345738,8.5342067
53,Erligatterweg,8038,47.3321637,8.5326119
3,Etzelstrasse,8038,47.3447487,8.5299814
115,Albisstrasse,8038,47.3374315,8.5302419
81,Albisstrasse,8038,47.3408021,8.5304839
10,Tessinerplatz,8002,47.3648083,8.5313604
15,Rämistrasse,8001,47.3684088,8.5461252
118,Limmatstrasse,8005,47.3842753,8.5325158
320,Mythenquai,8038,47.3485725,8.5340966
21,Mythenquai,8002,47.3612318,8.5356923
407,Seestrasse,8038,47.3435586,8.5368559
141,Josefstrasse,8005,47.3843493,8.5281025
70,Flurstrasse,8048,47.3828070,8.4929412
526,Badenerstrasse,8048,47.3825781,8.5012681
571,Badenerstrasse,8048,47.3841009,8.4964028
275,Zurlindenstrasse,8003,47.3765101,8.5112790
8,Erikastrasse,8003,47.3719367,8.5208660
170,Manessestrasse,8045,47.3618344,8.5223752
186,Regensbergstrasse,8050,47.4097670,8.5374793
28a,Bahnhofstrasse,8001,47.3703727,8.5399233
21,Bahnhofstrasse,8001,47.3692939,8.5392157
111,Universitätstrasse,8006,47.3849796,8.5482469
4,Thujastrasse,8038,47.3502028,8.5276055
76,Albisstrasse,8038,47.3418267,8.5303691
76,Albisstrasse,8038,47.3417256,8.5303027
1,Ginsterstrasse,8047,47.3760492,8.4949766
57,Bahnhofstrasse,8001,47.3729704,8.5376718
28,Sihlstrasse,8001,47.3733042,8.5367495
31-35,Löwenstrasse,8001,47.3752549,8.5361073
10,Röslistrasse,8006,47.3883166,8.5411342
102,Universitätstrasse,8006,47.3840769,8.5484706
101,Universitätstrasse,8006,47.3841491,8.5479932
2,Bederstrasse,8002,47.3652524,8.5313107
18,Wehntalerstrasse,8057,47.3980896,8.5399105
379,Hofwiesenstrasse,8050,47.4117889,8.5452197
60,Ausstellungsstrasse,8005,47.3829824,8.5357988
3,Uraniastrasse,8001,47.3740506,8.5410752
36,Albisstrasse,8038,47.3441758,8.5309460
97,Kasernenstrasse,8004,47.3773339,8.5353361
9,Regensdorferstrasse,8049,47.4025200,8.4987333
16,Regensdorferstrasse,8049,47.4032811,8.4980725
159,Limmattalstrasse,8049,47.4012329,8.5011516
281,Rautistrasse,8048,47.3845988,8.4772959
1,Culmannstrasse,8006,47.3794422,8.5470198
15,Regensdorferstrasse,8049,47.4031061,8.4977920
188,Schaffhauserstrasse,8057,47.4001030,8.5436425
560,Hohlstrasse,8048,47.3910962,8.4888858
24,Zürichbergstrasse,8032,47.3734628,8.5534720
26,Plattenstrasse,8032,47.3737380,8.5531845
5,Gasometerstrasse,8005,47.3835914,8.5283234
55,Freiestrasse,8032,47.3697086,8.5557788
60,Gemeindestrasse,8032,47.3697879,8.5563885
10,Tessinerplatz,8002,47.3640724,8.5309446
89,Seebahnstrasse,8003,47.3711945,8.5228829
75,Zürichbergstrasse,8044,47.3764170,8.5595945
70,Hüttenkopfstrasse,8050,47.3995321,8.5727756
5,Albisriederstrasse,8003,47.3780052,8.5096462
1,Albisriederplatz,8003,47.3779324,8.5104889
231,Badenerstrasse,8003,47.3764240,8.5141895
181,Badenerstrasse,8003,47.3763377,8.5143811
355,Badenerstrasse,8003,47.3783291,8.5096105
333,Badenerstrasse,8003,47.3777162,8.5112192
560,Hohlstrasse,8048,47.3909762,8.4892581
11,Altstetterplatz,8048,47.3914676,8.4887528
14,Robert-Maillart-Strasse,8050,47.4145066,8.5330149
2,Ellen-Widmann-Weg,8050,47.4143917,8.5394550
38,Uetlibergstrasse,8045,47.3639501,8.5201156
24,Eibenstrasse,8045,47.3635821,8.5202242
70,Uetlibergstrasse,8045,47.3626560,8.5186658
473,Hohlstrasse,8048,47.3883215,8.4965956
260,Hardstrasse,8005,47.3884346,8.5208041
234,Hardstrasse,8005,47.3872345,8.5194620
5,Geroldstrasse,8005,47.3848740,8.5202395
1,Maagplatz,8005,47.3858089,8.5165739
3,Schiffbaustrasse,8005,47.3884382,8.5189441
152,Limmatstrasse,8005,47.3855977,8.5314709
50,Limmatstrasse,8005,47.3819993,8.5354777
5,Bahnhofplatz,8001,47.3767165,8.5403343
20,Uetlibergstrasse,8045,47.3648716,8.5210060
297,Birmensdorferstrasse,8055,47.3697414,8.5100698
65,Uetlibergstrasse,8045,47.3623912,8.5189172
19,Hopfenstrasse,8045,47.3651417,8.5200023
166,Uetlibergstrasse,8045,47.3592215,8.5162289
130,Uetlibergstrasse,8045,47.3605314,8.5164809
14,Seegartenstrasse,8008,47.3613874,8.5494120
63,Seefeldstrasse,8008,47.3616226,8.5513071
1,Talstrasse,8001,47.3671121,8.5393433
12,Poststrasse,8001,47.3697691,8.5397725
62,Seefeldstrasse,8008,47.3618394,8.5506873
61,Seefeldstrasse,8008,47.3618934,8.5510330
40,Seefeldstrasse,8008,47.3630112,8.5495281
151,Förrlibuckstrasse,8005,47.3919487,8.5102485
4,Rämistrasse,8001,47.3675511,8.5457188
3,Limmatquai,8001,47.3678872,8.5443882
2,Limmatquai,8001,47.3677942,8.5451446
7,Freieckgasse,8001,47.3673843,8.5458541
4,St. Urbangasse,8001,47.3670484,8.5462454
8,St. Urbangasse,8001,47.3671867,8.5464840
178,Talwiesenstrasse,8055,47.3695212,8.5107127
2,Mühlebachstrasse,8008,47.3659313,8.5490837
4,Dufourstrasse,8008,47.3641688,8.5472235
23,Mainaustrasse,8008,47.3606695,8.5499916
25,Seefeldstrasse,8008,47.3637174,8.5494425
4,Dufourstrasse,8008,47.3642310,8.5471877
6,Falkenstrasse,8008,47.3643873,8.5470213
10,Utoquai,8008,47.3637531,8.5462955
24,Dufourstrasse,8008,47.3637126,8.5476190
2,Klosbachstrasse,8032,47.3647890,8.5548938
5,Kreuzplatz,8032,47.3651703,8.5545280
115,Seefeldstrasse,8008,47.3582879,8.5541672
6,Färberstrasse,8008,47.3617898,8.5482086
5,Seefeldstrasse,8008,47.3650577,8.5482803
142,Dufourstrasse,8008,47.3557489,8.5531163
61,Riesbachstrasse,8008,47.3581997,8.5554797
7,Riesbachstrasse,8008,47.3603851,8.5536988
87,Feldeggstrasse,8008,47.3627304,8.5545618
34,Seefeldstrasse,8008,47.3632012,8.5494522
10,Theaterstrasse,8001,47.3663196,8.5467367
1,Sechseläutenplatz,8001,47.3649869,8.5460635
14,Theaterstrasse,8001,47.3668025,8.5461401
18,Theaterstrasse,8001,47.3673600,8.5461737
237,Regensdorferstrasse,8049,47.4179171,8.4826063
12,Tessinerplatz,8002,47.3638611,8.5311821
2,Beethovenstrasse,8002,47.3652563,8.5378953
6,Zollikerstrasse,8008,47.3640095,8.5544426
96,Seefeldstrasse,8008,47.3597536,8.5524861
123,Seefeldstrasse,8008,47.3579403,8.5546463
163,Bergstrasse,8032,47.3649250,8.5664519
76,Forchstrasse,8008,47.3623472,8.5587815
34,Neumünsterstrasse,8008,47.3615601,8.5603652
10,Hammerstrasse,8008,47.3596206,8.5585046
35,Wolfbachstrasse,8032,47.3703441,8.5522040
27,Hottingerstrasse,8032,47.3697919,8.5529812
31,Hottingerstrasse,8032,47.3696848,8.5535638
33,Hottingerstrasse,8032,47.3695588,8.5540543
2,Kruggasse,8001,47.3681833,8.5451811
7,Hechtplatz,8001,47.3682487,8.5447542
2,Oberdorfstrasse,8001,47.3683512,8.5459397
18,Schifflände,8001,47.3687308,8.5445975
16,Limmatquai,8001,47.3690472,8.5439586
30,Schifflände,8001,47.3691599,8.5440950
2,Weinplatz,8001,47.3712661,8.5417938
20,Münsterhof,8001,47.3700612,8.5416945
5,Waaggasse,8001,47.3700603,8.5398264
4,Waaggasse,8001,47.3702715,8.5401314
8,Münsterhof,8001,47.3702401,8.5403116
6,Münsterhof,8001,47.3700175,8.5403598
16,Kappelergasse,8001,47.3689961,8.5402339
111-113,Seefeldstrasse,8008,47.3583667,8.5540739
19-21,Falkenstrasse,8008,47.3656781,8.5480408
10,Stadelhoferstrasse,8001,47.3667726,8.5480794
20,Kreuzplatz,8032,47.3645956,8.5538464
4,Forchstrasse,8008,47.3643000,8.5551291
8,Forchstrasse,8008,47.3641215,8.5556530
18,Stadelhoferstrasse,8001,47.3670788,8.5477023
22,Stadelhoferstrasse,8001,47.3671507,8.5474280
8,Theaterstrasse,8001,47.3662030,8.5469287
27,Falkenstrasse,8008,47.3661112,8.5486513
19-21,Falkenstrasse,8008,47.3654324,8.5478765
10,Stadelhoferstrasse,8001,47.3668299,8.5481000
38,Freiestrasse,8032,47.3706992,8.5545782
231,Zürichbergstrasse,8044,47.3843967,8.5751844
260,Bellerivestrasse,8008,47.3480497,8.5623665
269,Seefeldstrasse,8008,47.3490341,8.5631953
351,Forchstrasse,8008,47.3534438,8.5768921
331,Forchstrasse,8008,47.3546412,8.5753312
271,Forchstrasse,8008,47.3578267,8.5724184
221,Freiestrasse,8032,47.3604653,8.5670716
193,Forchstrasse,8032,47.3604238,8.5676494
2,Forchstrasse,8008,47.3643316,8.5545739
7,Uraniastrasse,8001,47.3742976,8.5398423
9,Uraniastrasse,8001,47.3743748,8.5394674
3,Werdmühleplatz,8001,47.3751744,8.5397124
48,Rennweg,8001,47.3736638,8.5392193
53,Rennweg,8001,47.3736029,8.5389560
1,Bellevueplatz,8001,47.3670907,8.5451486
2,Limmatquai,8001,47.3676704,8.5452760
81,Seefeldstrasse,8008,47.3603177,8.5523900
260,Forchstrasse,8008,47.3576104,8.5713693
16,Fraumünsterstrasse,8001,47.3689582,8.5413011
3,Riesbachstrasse,8008,47.3605777,8.5536620
123,Seefeldstrasse,8008,47.3579955,8.5544844
17,Stockerstrasse,8002,47.3654980,8.5360074
30,Claridenstrasse,8002,47.3675057,8.5374869
63,Seefeldstrasse,8008,47.3615761,8.5513602
7a,Seefeldstrasse,8008,47.3650488,8.5486637
3,Jonas-Furrer-Strasse,8046,47.4193630,8.5077194
549,Wehntalerstrasse,8046,47.4188884,8.5056989
551,Wehntalerstrasse,8046,47.4192212,8.5054537
11,Schiffbaustrasse,8005,47.3890206,8.5170578
13,Schiffbaustrasse,8005,47.3891361,8.5167438
2,Technoparkstrasse,8005,47.3889729,8.5161860
8,Theaterstrasse,8001,47.3661724,8.5469837
37,Sihlstrasse,8001,47.3726732,8.5357790
21,Hottingerstrasse,8032,47.3701637,8.5519296
4,Beatenplatz,8001,47.3761856,8.5413414
21,Marktgasse,8001,47.3722057,8.5437442
12,Scheffelstrasse,8037,47.3936950,8.5295514
55,Röschibachstrasse,8037,47.3936416,8.5264684
12,Scheffelstrasse,8037,47.3936485,8.5295435
1,Weihersteig,8037,47.3962726,8.5267738
22,Röschibachstrasse,8037,47.3925390,8.5245566
155,Sihlquai,8005,47.3860523,8.5319464
7,Bahnhofplatz,8001,47.3769479,8.5394468
21,Lintheschergasse,8001,47.3766974,8.5388369
87,Bahnhofstrasse,8001,47.3764123,8.5392291
6,Schweizergasse,8001,47.3760268,8.5384828
8,Schweizergasse,8001,47.3760500,8.5383251
32,Schützengasse,8001,47.3771315,8.5375254
12,Seidengasse,8001,47.3750941,8.5376361
34,Löwenstrasse,8001,47.3749180,8.5364760
262,Heinrichstrasse,8005,47.3895233,8.5217251
188,Regensbergstrasse,8050,47.4097743,8.5373570
31,Sihlstrasse,8001,47.3729055,8.5366859
8,Pelikanstrasse,8001,47.3722044,8.5371777
11,Zähringerplatz,8001,47.3735998,8.5447955
11,Sternenstrasse,8002,47.3600645,8.5340786
82,Seestrasse,8002,47.3597047,8.5318434
8,General-Wille-Strasse,8002,47.3635147,8.5339001
36,Grütlistrasse,8002,47.3621580,8.5308050
125,Seestrasse,8002,47.3577263,8.5332740
17,Geroldstrasse,8005,47.3855039,8.5199443
47,Bleicherweg,8002,47.3658410,8.5325611
9,Tessinerplatz,8002,47.3639340,8.5320471
5,Tessinerplatz,8002,47.3643354,8.5321297
13,Stüssihofstatt,8001,47.3723135,8.5437395
109,Badenerstrasse,8004,47.3741511,8.5247996
109,Badenerstrasse,8004,47.3741673,8.5247260
111,Langstrasse,8004,47.3789283,8.5271456
536,Hohlstrasse,8048,47.3901555,8.4921812
177,Limmattalstrasse,8049,47.4018188,8.4993857
126,Hardturmstrasse,8005,47.3937910,8.5132196
261,Hardturmstrasse,8005,47.3936197,8.5078042
24,Seefeldstrasse,8008,47.3637036,8.5488057
14,Spitalgasse,8001,47.3735537,8.5446241
18,Pelikanstrasse,8001,47.3718100,8.5364241
129,Birmensdorferstrasse,8003,47.3698845,8.5208099
1,Kalkbreitestrasse,8003,47.3742338,8.5214527
43,Elisabethenstrasse,8004,47.3739598,8.5209969
100,Seebahnstrasse,8003,47.3728411,8.5211422
138,Sihlfeldstrasse,8004,47.3788337,8.5163135
202,Kanzleistrasse,8004,47.3785125,8.5170798
20,Birmensdorferstrasse,8004,47.3726689,8.5266427
55,Kernstrasse,8004,47.3778418,8.5258089
8,Molkenstrasse,8004,47.3766665,8.5271254
15,Strassburgstrasse,8004,47.3726710,8.5282160
2,Splügenstrasse,8002,47.3645731,8.5342368
21,Badenerstrasse,8004,47.3734328,8.5297366
26,Stauffacherstrasse,8004,47.3731732,8.5293204
6,Badenerstrasse,8004,47.3736830,8.5308900
50,Badenerstrasse,8004,47.3734424,8.5281438
18,Kanzleistrasse,8004,47.3738054,8.5278402
41,Badenerstrasse,8004,47.3732537,8.5287756
55,Birmensdorferstrasse,8004,47.3714414,8.5251725
55,Birmensdorferstrasse,8004,47.3713618,8.5249359
36,Werdstrasse,8004,47.3728259,8.5294871
80,Birmensdorferstrasse,8003,47.3714515,8.5237697
133,Schaffhauserstrasse,8057,47.3972052,8.5408759
109,Badenerstrasse,8004,47.3741322,8.5244471
19,Seestrasse,8002,47.3647025,8.5317713
6,Pfingstweidstrasse,8005,47.3878633,8.5186448
12,Giessereistrasse,8005,47.3900555,8.5179098
66,Hardturmstrasse,8005,47.3919262,8.5187946
15,Max-Bill-Platz,8050,47.4143333,8.5403532
45,Waidbadstrasse,8037,47.3999623,8.5154056
225,Josefstrasse,8005,47.3879264,8.5201721
60b,Pfingstweidstrasse,8005,47.3906821,8.5149569
4,Regensdorferstrasse,8049,47.4026387,8.4989275
15,Rütihofstrasse,8049,47.4137195,8.4794588
18,Hohlstrasse,8004,47.3770674,8.5277016
15,Molkenstrasse,8004,47.3764107,8.5263373
470,Schaffhauserstrasse,8052,47.4195222,8.5482860
491,Schaffhauserstrasse,8052,47.4211522,8.5493620
499,Schaffhauserstrasse,8052,47.4214367,8.5496900
469,Schaffhauserstrasse,8052,47.4198706,8.5480159
479,Schaffhauserstrasse,8052,47.4205226,8.5487362
2a,Bahnhaldenstrasse,8052,47.4194387,8.5469629
460,Schaffhauserstrasse,8052,47.4184353,8.5471740
43,Binzmühlestrasse,8050,47.4140306,8.5452509
475,Schaffhauserstrasse,8052,47.4202502,8.5484299
2a,Bahnhaldenstrasse,8052,47.4194842,8.5469086
9,Nansenstrasse,8050,47.4107063,8.5448251
354,Schaffhauserstrasse,8050,47.4100617,8.5464781
352,Schaffhauserstrasse,8050,47.4098258,8.5464212
1,Wallisellenstrasse,8050,47.4103990,8.5466217
354,Schaffhauserstrasse,8050,47.4099916,8.5463757
117,Dörflistrasse,8050,47.4109387,8.5469906
9,Max-Bill-Platz,8050,47.4141700,8.5394484
7,Max-Bill-Platz,8050,47.4139298,8.5394202
78,Kanzleistrasse,8004,47.3756685,8.5243755
7,Wengistrasse,8004,47.3748981,8.5234086
35,Hohlstrasse,8004,47.3770779,8.5264444
181,Albisriederstrasse,8047,47.3775520,8.4983437
73,Universitätstrasse,8006,47.3824677,8.5479911
96,Stauffacherstrasse,8004,47.3765292,8.5259639
44,Hohlstrasse,8004,47.3775516,8.5262968
2,Ellen-Widmann-Weg,8050,47.4145536,8.5394615
15,Max-Bill-Platz,8050,47.4143322,8.5405276
5,Otto-Schütz-Weg,8050,47.4148171,8.5408969
19,Max-Bill-Platz,8050,47.4143135,8.5408549
348,Schaffhauserstrasse,8050,47.4095081,8.5465063
345,Schaffhauserstrasse,8050,47.4092055,8.5462331
3,Querstrasse,8050,47.4099302,8.5457062
38,Winzerstrasse,8049,47.4010238,8.4915916
146,Am Wasser,8049,47.3995892,8.4972119
387,Wehntalerstrasse,8046,47.4141963,8.5182140
309,Regensbergstrasse,8050,47.4114261,8.5265305
35,Köchlistrasse,8004,47.3739825,8.5222246
42,Baumackerstrasse,8050,47.4096081,8.5427060
197,Langstrasse,8005,47.3825398,8.5296036
50,Limmatstrasse,8005,47.3818876,8.5355750
15,Regensdorferstrasse,8049,47.4031860,8.4976343
8,Albisriederplatz,8004,47.3786284,8.5103744
376,Badenerstrasse,8004,47.3791999,8.5087992
81,Sihlfeldstrasse,8004,47.3758295,8.5164278
244,Badenerstrasse,8004,47.3758529,8.5173594
232,Albisriederstrasse,8047,47.3791065,8.4946389
62,Gotthardstrasse,8002,47.3648388,8.5323564
11,Langstrasse,8004,47.3748589,8.5244037
120,Badenerstrasse,8004,47.3744220,8.5239732
120,Badenerstrasse,8004,47.3744932,8.5240393
3,Elisabethenstrasse,8004,47.3724091,8.5232069
2,Welchogasse,8050,47.4095283,8.5461048
5,Welchogasse,8050,47.4093496,8.5461235
339,Schaffhauserstrasse,8050,47.4088628,8.5463003
12,Rautistrasse,8047,47.3802915,8.4940158
78,Badenerstrasse,8004,47.3738833,8.5264947
1,Freilagerstrasse,8047,47.3779936,8.4926226
39,Langstrasse,8004,47.3760590,8.5252233
2,Ohmstrasse,8050,47.4105090,8.5461529
51,Birmensdorferstrasse,8004,47.3715926,8.5256213
30,Breitingerstrasse,8002,47.3625030,8.5330275
597,Wehntalerstrasse,8046,47.4210295,8.5017030
85,Sihlfeldstrasse,8004,47.3761196,8.5163348
89,Sihlfeldstrasse,8004,47.3764320,8.5162699
163,Stauffacherstrasse,8004,47.3778609,8.5211491
56,Herman-Greulich-Strasse,8004,47.3783616,8.5206048
45,Sihlfeldstrasse,8003,47.3744885,8.5168160
63,Sihlfeldstrasse,8003,47.3752742,8.5165912
27,Stauffacherstrasse,8004,47.3730187,8.5289781
35,Beethovenstrasse,8002,47.3672324,8.5354219
21,Jonas-Furrer-Strasse,8046,47.4202260,8.5085756
32,Beethovenstrasse,8002,47.3673025,8.5360943
2,Selnaustrasse,8001,47.3698304,8.5336387
47,Stockerstrasse,8002,47.3682406,8.5342265
5,Sihlamtsstrasse,8001,47.3702232,8.5318280
40,Rütihofstrasse,8049,47.4138889,8.4774567
21,Rütihofstrasse,8049,47.4139157,8.4789474
180,Weststrasse,8003,47.3743750,8.5177655
21,Langstrasse,8004,47.3754357,8.5244774
144,Limmatquai,8001,47.3765801,8.5441952
66,Niederdorfstrasse,8001,47.3755965,8.5441089
11,Mühlegasse,8001,47.3743728,8.5439976
40,Niederdorfstrasse,8001,47.3745243,8.5439506
76,Niederdorfstrasse,8001,47.3759081,8.5441559
100,Rämistrasse,8006,47.3765878,8.5490701
25,Niederdorfstrasse,8001,47.3741258,8.5435892
30,Niederdorfstrasse,8001,47.3740829,8.5438491
14,Kirchgasse,8001,47.3697813,8.5445846
1a,Werdinsel,8049,47.3993584,8.4893633
73,Bullingerstrasse,8004,47.3814552,8.5095138
320,Mythenquai,8038,47.3483916,8.5341088
100,Thurgauerstrasse,8052,47.4196530,8.5562010
100,Thurgauerstrasse,8052,47.4198064,8.5563058
457,Badenerstrasse,8003,47.3807554,8.5040594
32,Oberdorfstrasse,8001,47.3693607,8.5447874
1,Stauffacherquai,8004,47.3731773,8.5316759
83,Birmensdorferstrasse,8003,47.3707577,8.5238038
89a,Wasserwerkstrasse,8037,47.3867368,8.5340332
14,Wolfgang-Pauli-Strasse,8049,47.4083614,8.5079214
27,Wolfgang-Pauli-Strasse,8093,47.4103225,8.5085530
5,Hofwiesenstrasse,8057,47.3922444,8.5381347
75,Schaffhauserstrasse,8057,47.3925525,8.5384284
1-5,Milchbuckstrasse,8057,47.3957248,8.5404707
34,Leonhardstrasse,8092,47.3759249,8.5466398
34,Leonhardstrasse,8092,47.3763026,8.5465369
6,Universitätstrasse,8092,47.3783140,8.5488050
18,Fierzgasse,8005,47.3841236,8.5317649
17,Habsburgstrasse,8037,47.3919593,8.5269784
237,Heinrichstrasse,8005,47.3886944,8.5227559
1,Zeughausstrasse,8004,47.3745992,8.5320588
61,Zeughausstrasse,8004,47.3763729,8.5292946
121,Schaffhauserstrasse,8057,47.3962653,8.5402882
125,Schaffhauserstrasse,8057,47.3965472,8.5404687
70,Niederdorfstrasse,8001,47.3757513,8.5441431
132,Limmatquai,8001,47.3758264,8.5438660
6,In Gassen,8001,47.3706846,8.5406432
245,Schweighofstrasse,8055,47.3612769,8.5056635
517,Birmensdorferstrasse,8055,47.3674023,8.4943259
1,Niklausstrasse,8006,47.3864891,8.5391019
55,Am Wasser,8049,47.3956579,8.5063309
175,Altstetterstrasse,8048,47.3858113,8.4860116
56,Thurgauerstrasse,8050,47.4159403,8.5528486
184,Scheuchzerstrasse,8057,47.3946186,8.5425411
76,Glatttalstrasse,8052,47.4271971,8.5469024
550,Hohlstrasse,8048,47.3904417,8.4908812
544,Hohlstrasse,8048,47.3903750,8.4913858
102,Hegibachstrasse,8032,47.3646705,8.5666881
21,Ausstellungsstrasse,8005,47.3815648,8.5369701
509,Schaffhauserstrasse,8052,47.4216827,8.5498597
3,Witikonerstrasse,8032,47.3643937,8.5667554
35,Uraniastrasse,8001,47.3730817,8.5355865
20,Marktgasse,8001,47.3721828,8.5439082
3,Metzgergasse,8001,47.3721619,8.5432079
3,Spitalgasse,8001,47.3735166,8.5439446
16,Bertastrasse,8003,47.3748597,8.5149995
76,Bertastrasse,8003,47.3723327,8.5104366
99,Sihlstrasse,8001,47.3730587,8.5324944
82,Talstrasse,8001,47.3721520,8.5346291
102,Uetlibergstrasse,8045,47.3618473,8.5177598
107,Uetlibergstrasse,8045,47.3612909,8.5176250
140,Birmensdorferstrasse,8003,47.3701315,8.5200770
10,Binzring,8045,47.3615291,8.5098809
11,Hardturmstrasse,8005,47.3912062,8.5185804
571a,Badenerstrasse,8048,47.3838351,8.4961616
17,Strassburgstrasse,8004,47.3728883,8.5280453
60,Werdstrasse,8004,47.3726372,8.5277578
66,Werdstrasse,8004,47.3726012,8.5273865
5,Strassburgstrasse,8004,47.3722450,8.5289743
6,Köchlistrasse,8004,47.3732235,8.5237696
16,Badenerstrasse,8004,47.3736978,8.5307293
7,Müllerstrasse,8004,47.3739550,8.5313012
29,Pflanzschulstrasse,8004,47.3764695,8.5195407
123,Brauerstrasse,8004,47.3798419,8.5218944
115,Brauerstrasse,8004,47.3800406,8.5225929
68,Konradstrasse,8005,47.3818740,8.5338089
33,Klingenstrasse,8005,47.3819982,8.5336329
160,Limmattalstrasse,8049,47.4016256,8.5010076
168,Limmattalstrasse,8049,47.4018760,8.5002193
177,Limmattalstrasse,8049,47.4017494,8.4996666
178,Limmattalstrasse,8049,47.4021194,8.4994606
56,Glatttalstrasse,8052,47.4258408,8.5478098
138,Glatttalstrasse,8052,47.4310129,8.5442164
8,Gessnerallee,8001,47.3751438,8.5349263
11,Gessnerallee,8001,47.3744071,8.5336734
62,Langstrasse,8004,47.3768022,8.5261200
67,Hohlstrasse,8004,47.3777467,8.5244364
5,Neumarkt,8001,47.3726451,8.5457546
18,Kanonengasse,8004,47.3772565,8.5294991
16,Albisriederstrasse,8003,47.3782065,8.5085890
24,Zahnradstrasse,8005,47.3868557,8.5169154
129,Wasserwerkstrasse,8037,47.3890103,8.5300993
395,Seestrasse,8038,47.3434159,8.5357631
92,Weinbergstrasse,8006,47.3847497,8.5430595
1,Schaffhauserstrasse,8006,47.3880223,8.5391198
26,Weinbergstrasse,8001,47.3789263,8.5444555
4,Engelstrasse,8004,47.3748470,8.5221288
144,Badenerstrasse,8004,47.3744335,8.5224373
2,Niederdorfstrasse,8001,47.3727200,8.5438402
42,Limmatquai,8001,47.3708573,8.5432024
3,Nägelihof,8001,47.3708655,8.5438060
7,Rennweg,8001,47.3724404,8.5398562
5,Römerhofplatz,8032,47.3683702,8.5605979
51,Zähringerstrasse,8001,47.3766497,8.5442567
142,Limmatquai,8001,47.3764199,8.5441261
90,Niederdorfstrasse,8001,47.3763302,8.5440373
88,Niederdorfstrasse,8001,47.3762232,8.5440583
84,Niederdorfstrasse,8001,47.3761215,8.5440720
74,Niederdorfstrasse,8001,47.3758260,8.5441268
68,Niederdorfstrasse,8001,47.3756656,8.5441177
64,Niederdorfstrasse,8001,47.3754942,8.5440790
60,Niederdorfstrasse,8001,47.3754161,8.5440085
52,Niederdorfstrasse,8001,47.3751577,8.5439328
39,Niederdorfstrasse,8001,47.3749576,8.5437443
40,Niederdorfstrasse,8001,47.3745945,8.5439190
29,Niederdorfstrasse,8001,47.3745124,8.5437060
21,Niederdorfstrasse,8001,47.3738970,8.5436368
6,Badergasse,8001,47.3738072,8.5433593
15,Niederdorfstrasse,8001,47.3734874,8.5436348
13,Niederdorfstrasse,8001,47.3733773,8.5432575
11,Niederdorfstrasse,8001,47.3733143,8.5436396
10,Niederdorfstrasse,8001,47.3730720,8.5439228
10,Niederdorfstrasse,8001,47.3730001,8.5438598
10,Niederdorfstrasse,8001,47.3729070,8.5438580
5,Niederdorfstrasse,8001,47.3729061,8.5436598
7,Niederdorfstrasse,8001,47.3729877,8.5436586
1,Niederdorfstrasse,8001,47.3726619,8.5436085
19,Marktgasse,8001,47.3721304,8.5437352
27,Münstergasse,8001,47.3717372,8.5436505
12,Marktgasse,8001,47.3718028,8.5439066
21,Münstergasse,8001,47.3715110,8.5438574
23,Münstergasse,8001,47.3715721,8.5438375
4,Napfgasse,8001,47.3714893,8.5443699
4,Münstergasse,8001,47.3708560,8.5445409
3,Blaufahnenstrasse,8001,47.3709521,8.5448246
27,Oberdorfstrasse,8001,47.3695359,8.5444403
44,Albisstrasse,8038,47.3438585,8.5298166
4,Schiffbaustrasse,8005,47.3886695,8.5191166
445,Wehntalerstrasse,8046,47.4154865,8.5130242
130,Limmattalstrasse,8049,47.4004328,8.5036259
22,Brahmsstrasse,8003,47.3786937,8.5065553
5-7,Sihlhallenstrasse,8004,47.3795994,8.5270327
57,Kornhausstrasse,8037,47.3912249,8.5359972
331,Schaffhauserstrasse,8050,47.4080191,8.5465859
336,Schaffhauserstrasse,8050,47.4080425,8.5470462
335,Schaffhauserstrasse,8050,47.4085258,8.5464126
330,Schaffhauserstrasse,8050,47.4076280,8.5472258
33,Seebahnstrasse,8003,47.3709038,8.5233636
10,Frankentalerstrasse,8049,47.4055169,8.4812849
12,Saatlenstrasse,8051,47.4047820,8.5718792
480,Schaffhauserstrasse,8052,47.4196446,8.5484530
502,Schaffhauserstrasse,8052,47.4214731,8.5502880
470,Schaffhauserstrasse,8052,47.4196734,8.5483971
90,Katzenbachstrasse,8052,47.4228706,8.5470656
14,Wolfgang-Pauli-Strasse,8093,47.4084878,8.5080082
1,Emil-Oprecht-Strasse,8050,47.4119577,8.5410497
5,Lerchenberg,8046,47.4122149,8.5086931
7,Lerchenberg,8046,47.4119992,8.5083426
9,Lerchenberg,8046,47.4123398,8.5084259
11,Lerchenberg,8046,47.4124831,8.5082830
2,Lerchenberg,8046,47.4126048,8.5091903
4,Lerchenberg,8046,47.4127576,8.5094982
