House number,Street name,Postal code,Latitude,Longitude
6,Каинская улица,630007,55.0186036,82.9252205
5,улица Ленина,630099,55.0294849,82.9162693
250,улица Бориса Богаткова,630089,55.0379996,82.9791076
64,Учительская улица,630020,55.0913681,82.9545909
184,улица Гоголя,630112,55.0452931,82.9557238
103,улица Ватутина,630024,54.9671651,82.9261481
118/1,улица Немировича-Данченко,630048,54.9727494,82.9030027
118/1,улица Немировича-Данченко,630048,54.9726305,82.9027926
25,улица Сибиряков-Гвардейцев,630048,54.9737567,82.8979153
5/1,Вертковская улица,630048,54.9754456,82.8915809
20,улица Петухова,630088,54.9397524,82.8992843
18,улица Чаплыгина,630099,55.0249807,82.9123068
30А,улица Иванова,630117,54.8681030,83.0936050
10/1к2,улица Ключ-Камышенское Плато,630114,54.9850286,83.0461848
12А,улица Терешковой,630090,54.8417778,83.1035309
4,улица Ильича,630090,54.8381708,83.0971738
13,улица Боровая Партия,630116,54.8118475,83.0953757
11,Золотодолинская улица,630090,54.8362691,83.1058968
15,проспект Строителей,630055,54.8599645,83.0839862
54,Морской проспект,630090,54.8352334,83.0973327
38А,Курганская улица,630045,54.9709969,82.8435822
17,улица Челюскинцев,630132,55.0407022,82.9077924
23,Геодезическая улица,630087,54.9866634,82.9116234
24,Фабричная улица,630003,55.0300805,82.8950997
17,улица Громова,630106,54.9346588,82.9094866
18,Мочищенское шоссе,630123,55.0756415,82.9060591
180,улица Бориса Богаткова,630017,55.0276230,82.9653371
5,Советская улица,630007,55.0217688,82.9179425
136 к1,улица Немировича-Данченко,630087,54.9869597,82.9139976
23,улица Мичурина,630091,55.0406600,82.9205824
126/1,улица Кропоткина,630111,55.0562534,82.9325240
18/1,улица Мичурина,630005,55.0453789,82.9209420
90/1,улица Пархоменко,630136,54.9871292,82.8503494
11А,Киевская улица,630136,54.9889582,82.8501941
44,улица Костычева,630077,54.9753424,82.8768325
99,Советская улица,630109,55.0465585,82.9115938
25/1,Фасадная улица,630120,54.9837575,82.8224527
10,улица Кошурникова,630112,55.0423033,82.9513690
5,улица Восход,630102,55.0137507,82.9421016
52/3,Трикотажная улица,630084,55.0646425,82.9698255
275/1,улица Зорге,630119,54.9304493,82.9296462
9,Геодезическая улица,630073,54.9894262,82.9052852
21/1,улица Чаплыгина,630099,55.0251929,82.9113786
6,улица Ильича,630090,54.8389671,83.0956678
15,улица Восход,630200,55.0174926,82.9467867
28,Вилюйская улица,630126,55.0005803,83.0175290
4А,проезд Энергетиков,630108,55.0026613,82.8697951
7,улица Михаила Перевозчикова,630082,55.0603980,82.9068336
27,Дачная улица,630082,55.0629036,82.9025726
16,улица Громова,630106,54.9358380,82.9081599
23,Геодезическая улица,630087,54.9866619,82.9113334
2А,Промышленная улица,630015,55.0528679,82.9636765
16,Абразивная улица,630028,54.9890786,82.9884491
24,Морской проспект,630090,54.8391475,83.1057009
119 к1,1-я Чулымская улица,630029,55.0127352,82.8874741
17,Часовая улица,630098,54.8652075,82.9832783
30,Новоуральская улица,630900,55.1790940,82.9570020
100,Ленинградская улица,630008,55.0141213,82.9554730
73,улица Ольги Жилиной,630005,55.0461448,82.9324937
28,улица Ленина,630004,55.0297606,82.9060838
14,улица Добролюбова,630009,55.0080362,82.9503891
16,Холодильная улица,630001,55.0499331,82.8858765
5,Владимировская улица,630003,55.0329927,82.8913824
18,Техническая улица,630010,55.0556732,83.0083528
58,Тамбовская улица,630020,55.0953927,82.9336191
18,Красный проспект,630011,55.0220068,82.9245493
1А,проспект Дзержинского,630015,55.0498303,82.9609033
17,улица Мира,630024,54.9643993,82.9082646
14,улица Новосёлов,630025,54.9622280,83.0627334
25,улица Объединения,630027,55.0972607,82.9640475
43,улица Дубравы,630028,54.9927194,82.9931732
8,Оловозаводская улица,630033,54.9653536,82.9562175
220,Первомайская улица,630030,54.9764784,83.0576807
5,Путевая улица,630032,54.9979347,82.8877928
2А,улица Маяковского,630037,54.9716131,83.0966532
9,улица Панфиловцев,630039,55.0238575,82.9800316
22,Портовая улица,630036,55.0256003,82.8563754
1,площадь Труда,630035,54.9951865,82.8680351
20/3,улица Кузьмы Минина,630047,55.0751716,82.9372664
12,улица Шмидта,630046,54.9753800,83.0813369
159,Красный проспект,630049,55.0605004,82.9118075
81,проспект Дзержинского,630051,55.0640551,82.9918661
2Б,Балластная улица,630041,55.0210157,82.7892542
282,улица Лескова,630063,55.0124519,82.9735496
7,Узорная улица,630059,54.9240687,83.0808215
6,Ветлужская улица,630056,54.8524063,82.9753403
33/1,Ударная улица,630052,54.9650694,82.8651071
1А,Комсомольская улица,630066,54.9547512,82.9689500
14,проспект Карла Маркса,630064,54.9862828,82.8441336
15,улица Станиславского,630054,54.9825029,82.8724346
55,Фабричная улица,630061,55.0230509,82.9036105
15,Фасадная улица,630071,54.9896233,82.8194435
1Б,Газонная улица,630068,54.9495756,83.1154908
20,улица Петухова,630088,54.9398428,82.8992993
64,улица Лейтенанта Амосова,630095,55.1597159,82.9615021
16,улица Ватутина,630078,54.9877497,82.8878479
28,улица Станиславского,630079,54.9754583,82.8722176
55,Фабричная улица,630061,55.0229991,82.9035560
5,Звёздная улица,630097,54.9500955,83.0682398
2/1,улица Авиастроителей,630084,55.0684399,82.9645283
15,Фасадная улица,630071,54.9895388,82.8194929
3,площадь Карла Маркса,630078,54.9837375,82.8909254
104,Первомайская улица,630080,54.9668850,83.1098771
8,улица Богдана Хмельницкого,630075,55.0670979,82.9379025
10,улица 9-й Гвардейской Дивизии,630107,54.9660098,82.8476594
20,улица Зорге,630106,54.9335373,82.9069201
22,улица Котовского,630108,54.9912409,82.8664295
4,улица Толбухина,630124,55.0423946,83.0048678
61,улица Невельского,630121,54.9923180,82.8094665
30,Вилюйская улица,630126,55.0056746,83.0178984
6,Лазурная улица,630133,55.0314249,83.0058288
15,улица Восход,630200,55.0174461,82.9468584
14,улица Ключ-Камышенское Плато,630114,54.9883245,83.0462525
1/2,Оловозаводская улица,630033,54.9652315,82.9574191
1/2,Оловозаводская улица,630033,54.9650740,82.9571598
77,Ипподромская улица,630075,55.0609927,82.9360700
1,Народная улица,630075,55.0634383,82.9366067
1А,улица Академика Ржанова,630090,54.8441618,83.1140066
48,улица Татьяны Снежиной,630133,55.0233178,83.0225683
1 к2,Воинская улица,630017,55.0285798,82.9582807
9,улица 9-й Гвардейской Дивизии,630107,54.9662624,82.8495856
9/2,улица 9-й Гвардейской Дивизии,630107,54.9661276,82.8490223
28,Новосибирская улица,630064,54.9867740,82.8435422
47/1,улица Чигорина,630033,54.9606009,82.9603610
4А,Заречная улица,630030,54.9782219,83.0465240
236,Первомайская улица,630030,54.9774372,83.0476331
6,Заречная улица,630030,54.9774858,83.0480207
1/1,Экваторная улица,630060,54.8886201,83.0965035
26/4,проспект Карла Маркса,630087,54.9904389,82.9112907
122/1,Выборная улица,630126,54.9977594,83.0120820
51А,улица Забалуева,630096,54.9883804,82.8069382
2А,улица Добролюбова,630009,55.0025946,82.9424921
52,Станционная улица,630096,54.9975309,82.8332052
52 к3,Станционная улица,630096,54.9970551,82.8335037
199/2,Выборная улица,630126,55.0106578,83.0499979
199/3,Выборная улица,630126,55.0110889,83.0489657
21/1,улица Тюленина,630061,55.1147166,82.9387567
10,улица Шмидта,630046,54.9753252,83.0822046
10/1,улица Ключ-Камышенское Плато,630114,54.9850004,83.0469532
79/2,Красный проспект,630049,55.0502102,82.9124953
23,Геодезическая улица,630087,54.9867061,82.9105647
36,улица Сибиряков-Гвардейцев,630048,54.9746389,82.8968728
23,Геодезическая улица,630087,54.9866407,82.9120021
16/1,улица Зелёная Горка,630060,54.8937352,83.1043289
1/16,улица Зелёная Горка,630060,54.8938085,83.1042001
47,улица Максима Горького,630099,55.0265882,82.9126087
117,Журинская улица,630112,55.0381577,82.9454897
188,улица Бориса Богаткова,630017,55.0290532,82.9670098
163А к1,улица Бориса Богаткова,630017,55.0288129,82.9656631
35/1,Народная улица,630075,55.0717359,82.9491284
3/1,Октябрьская магистраль,630007,55.0231290,82.9316745
12,улица Николаева,630090,54.8579084,83.1124107
2,улица Ошанина,630069,54.9397917,83.1002061
62,Станционная улица,630096,54.9974851,82.8290249
12,улица Герцена,630066,54.9589121,82.9676378
30,улица Орджоникидзе,630099,55.0311149,82.9304383
23,Геодезическая улица,630087,54.9866525,82.9114081
35,Красноярская улица,630132,55.0405562,82.9004138
18/1,улица Мичурина,630005,55.0456146,82.9207359
26,улица Ватутина,630078,54.9857792,82.8912749
17,Спортивная улица,630096,54.9830671,82.7976422
7,Учительская улица,630084,55.0748827,82.9739095
18,Советская улица,630099,55.0303081,82.9167474
23,улица Чаплыгина,630099,55.0252109,82.9116608
23/1,улица Чаплыгина,630099,55.0252175,82.9113404
82,улица Кирова,630102,55.0145822,82.9479617
2А,улица Добролюбова,630009,55.0022889,82.9431574
77/4,улица Державина,630112,55.0414111,82.9435405
79,улица Державина,630112,55.0416302,82.9458162
73,улица Державина,630112,55.0410225,82.9434959
92/2,улица Державина,630112,55.0406906,82.9461030
14,улица Котовского,630032,54.9948349,82.8782043
65,Советская улица,630099,55.0355912,82.9144980
133 к1,Зыряновская улица,630009,55.0050533,82.9530414
34А,улица Сибиряков-Гвардейцев,630048,54.9760431,82.8965864
14/1,улица Петухова,630088,54.9402097,82.8950517
16,улица Петухова,630088,54.9409831,82.8953432
39,Гостинная улица,630034,54.9398799,83.1095503
1/8,улица Одоевского,630034,54.9368299,83.1064988
88,улица Фрунзе,630005,55.0376269,82.9347832
4/1,Серебренниковская улица,630007,55.0165876,82.9298158
30,проспект Карла Маркса,630087,54.9918685,82.9115769
50 к7,Светлановская улица,630047,55.0836053,82.9348070
84,улица Пархоменко,630136,54.9872208,82.8517151
41А,Трикотажная улица,630015,55.0612525,82.9724426
4/1,Геодезическая улица,630073,54.9898436,82.9036849
10,улица Ильича,630090,54.8408753,83.0926969
4Г,Северный проезд,630088,54.9531618,82.8844519
138,улица Немировича-Данченко,630087,54.9878450,82.9155449
20 к14,Бердское шоссе,630097,54.9596962,83.0540769
3 к1,Тополёвая улица,630017,55.0295297,82.9430982
56,улица Толстого,630009,55.0202008,82.9418967
133,улица Богдана Хмельницкого,630027,55.1131705,82.9893517
2/2,проспект Академика Лаврентьева,630090,54.8528891,83.0987112
40 к2,улица Королёва,630015,55.0588913,82.9599686
101/1,СУХАРНАЯ,630001,55.0475931,82.8627979
72/1 к1,улица Пархоменко,630136,54.9867008,82.8497656
74 к2,улица Плахотного,630136,54.9851603,82.8482446
19А,Новосибирская улица,630136,54.9886775,82.8438462
10,улица Учёных,630090,54.8332466,83.1075269
10,улица Ильича,630090,54.8409034,83.0926604
8,улица Ленина,630099,55.0297173,82.9151575
15 к3 оф203,Кривощёковская улица,630007,55.0160484,82.9297953
9,улица Титова,630054,54.9822571,82.8843002
8,Колыванская улица,630007,55.0174633,82.9269087
12,улица Семьи Шамшиных,630099,55.0267090,82.9339737
21,улица Лескова,630008,55.0243004,82.9510884
47,улица Орджоникидзе,360099,55.0325252,82.9347020
1,Народная улица,630075,55.0633104,82.9360739
31/3,Фабричная улица,630007,55.0190593,82.9126838
18,улица Фрунзе,630099,55.0371019,82.9289987
23/5,Дачная улица,630082,55.0617126,82.9036349
23/5,Дачная улица,630082,55.0615302,82.9038301
23/5,Дачная улица,630082,55.0613164,82.9040589
10,Фабричная улица,630007,55.0203500,82.9118623
10,улица Менделеева,630110,55.0739853,82.9625550
4,Фабричная улица,630007,55.0164052,82.9212669
5,Военная улица,630099,55.0284815,82.9360838
13,улица Гоголя,630091,55.0437135,82.9215074
101,Красный проспект,630105,55.0558291,82.9126862
7,площадь Карла Маркса,630048,54.9806494,82.8982564
50,Плановая улица,630004,55.0544929,82.8946548
12А,Весенняя улица,630049,55.0687637,82.9052582
182/1,Красный проспект,630000,55.0570674,82.9137559
7,площадь Карла Маркса,630048,54.9797887,82.8974517
90,Журинская улица,630005,55.0374758,82.9423056
46 оф1144,Депутатская улица,630099,55.0288628,82.9264356
9,улица Ключ-Камышенское Плато,630114,54.9883538,83.0409880
13,улица Ключ-Камышенское Плато,630114,54.9896583,83.0403252
13,улица Ключ-Камышенское Плато,630114,54.9896598,83.0404745
13,улица Ключ-Камышенское Плато,630114,54.9909225,83.0407725
33,улица Терешковой,630090,54.8369405,83.1176551
1,улица Виталия Потылицына,630133,55.0206393,83.0099411
24,Лазурная улица,630133,55.0335854,83.0187383
37,улица Высоцкого,630133,55.0323767,83.0184020
37,улица Высоцкого,630133,55.0323774,83.0183405
270/7,Нижегородская улица,630063,55.0008938,82.9747709
14/1,улица Ключ-Камышенское Плато,630114,54.9883185,83.0443944
73,Автогенная улица,630063,55.0096835,82.9701735
55,Трикотажная улица,630084,55.0685220,82.9624850
42,Кубовая улица,630040,55.1251970,82.9028615
103,Кубовая улица,630040,55.1290904,82.8978751
89/8,Выборная улица,630126,55.0022113,83.0156209
10,Морской проспект,630090,54.8403597,83.1089083
6,улица Ильича,630090,54.8397384,83.0946284
3,улица Ленина,630099,55.0295918,82.9171481
17,улица Римского-Корсакова,630077,54.9776265,82.8857931
179/2,улица Дуси Ковальчук,630049,55.0603311,82.9134987
89/8,Выборная улица,630126,55.0022749,83.0159075
9,Вилюйская улица,630126,55.0012780,83.0061192
32,Танковая улица,630075,55.0600905,82.9312053
18,Советская улица,630099,55.0304720,82.9166039
4/1,Геодезическая улица,630073,54.9900817,82.9031800
42,Красный проспект,630099,55.0323552,82.9204248
1А,улица Аэропорт,630123,55.0803337,82.9077454
11,улица Бродского,630051,55.0569288,82.9820866
136 оф8,Автогенная улица,630039,55.0260113,82.9896304
5А,улица Ключ-Камышенское Плато,630114,54.9886322,83.0395313
201Б,Выборная улица,630126,55.0083394,83.0551436
2Б,улица Немировича-Данченко,630045,54.9731202,82.8509831
25/1,Ударная улица,630052,54.9674488,82.8634387
33,Дачная улица,630082,55.0647744,82.9001238
15/1,Железнодорожная улица,630132,55.0469446,82.9049909
273,Ленинградская улица,630063,55.0052973,82.9779104
8/1 к2,улица Ключ-Камышенское Плато,630114,54.9872467,83.0425614
144,Выборная улица,630126,55.0029363,83.0225234
87/3,Выборная улица,630126,55.0004997,83.0108030
122,Выборная улица,630126,54.9992052,83.0092584
122,Выборная улица,630126,54.9992089,83.0093963
14/1,улица Ключ-Камышенское Плато,630114,54.9883206,83.0432670
14,улица Ключ-Камышенское Плато,630114,54.9883054,83.0455906
14/1,улица Ключ-Камышенское Плато,630114,54.9882967,83.0441669
221/1,Выборная улица,630126,54.9945723,83.0556569
221/1,Выборная улица,630126,54.9944374,83.0558924
10/2,улица Ключ-Камышенское Плато,630114,54.9870781,83.0455464
45,Первомайская улица,630046,54.9721110,83.0803580
37/2,Гусинобродское шоссе,630010,55.0410573,83.0273816
42,Новогодняя улица,630087,54.9861589,82.9114741
2,улица Курчатова,630027,55.1030557,82.9592820
2/1,Геодезическая улица,630073,54.9906577,82.9022499
107,улица Ватутина,630024,54.9643150,82.9362236
14,улица Ключ-Камышенское Плато,630114,54.9883527,83.0465246
7/1,улица Ключ-Камышенское Плато,630114,54.9870043,83.0410616
18/1,улица Ключ-Камышенское Плато,630114,54.9855898,83.0436472
26,улица Ключ-Камышенское Плато,630114,54.9848229,83.0403882
14/1,улица Ключ-Камышенское Плато,630114,54.9883216,83.0435024
14/1,улица Ключ-Камышенское Плато,630114,54.9883260,83.0437161
14/1,улица Ключ-Камышенское Плато,630114,54.9883196,83.0438973
14,улица Ключ-Камышенское Плато,630114,54.9883304,83.0452910
6/1,улица Ключ-Камышенское Плато,630114,54.9849189,83.0387834
14,улица Ключ-Камышенское Плато,630114,54.9883128,83.0458379
14,улица Ключ-Камышенское Плато,630114,54.9883731,83.0463543
1/1,улица Ключ-Камышенское Плато,630114,54.9807064,83.0352001
26,улица Ключ-Камышенское Плато,630114,54.9848272,83.0402904
26,улица Ключ-Камышенское Плато,630114,54.9847778,83.0402950
26,улица Ключ-Камышенское Плато,630114,54.9848000,83.0403904
1/1,улица Ключ-Камышенское Плато,630114,54.9802310,83.0351763
18/1,улица Ключ-Камышенское Плато,630114,54.9855990,83.0435668
10/1,улица Ключ-Камышенское Плато,630114,54.9849526,83.0470779
34,улица Станиславского,630079,54.9715231,82.8720846
19 к4,Хилокская улица,630019,54.9462792,82.8320005
4,Заречная улица,630030,54.9772147,83.0445439
30,улица Королёва,630015,55.0527281,82.9657812
84,улица Ленина,630004,55.0364439,82.8997545
118/1,улица Немировича-Данченко,630048,54.9727897,82.9030632
183 к2,улица Зорге,630119,54.9352028,82.9186071
183 к1,улица Зорге,630119,54.9353992,82.9186311
14/1,улица Ключ-Камышенское Плато,630114,54.9883436,83.0433743
14/1,улица Ключ-Камышенское Плато,630114,54.9883418,83.0437887
14/1,улица Ключ-Камышенское Плато,630114,54.9883397,83.0442634
14/1,улица Ключ-Камышенское Плато,630114,54.9882077,83.0442732
14/1,улица Ключ-Камышенское Плато,630114,54.9881535,83.0437010
14/1,улица Ключ-Камышенское Плато,630114,54.9881943,83.0433641
72,Ядринцевская улица,630099,55.0339999,82.9349199
271/3,Пролетарская улица,630114,54.9906022,83.0382550
78,2-я улица Марата,630030,54.9792824,83.0564877
78,2-я улица Марата,630030,54.9792553,83.0563878
37,Красный проспект,630091,55.0345164,82.9188089
1/1,площадь Карла Маркса,630048,54.9821668,82.8974861
10,улица Ильича,630090,54.8409471,83.0927804
6,улица Ильича,630090,54.8387837,83.0958955
82,Красный проспект,630091,55.0465722,82.9173383
290,Большевистская улица,630028,54.9768018,83.0243443
7/1,улица Ключ-Камышенское Плато,630114,54.9868932,83.0409736
7/1,улица Ключ-Камышенское Плато,630114,54.9869843,83.0409277
7/1,улица Ключ-Камышенское Плато,630114,54.9868720,83.0408641
7/1,улица Ключ-Камышенское Плато,630114,54.9869361,83.0407482
7/1,улица Ключ-Камышенское Плато,630114,54.9867932,83.0410422
14/1,улица Ключ-Камышенское Плато,630114,54.9882704,83.0432137
14/1,улица Ключ-Камышенское Плато,630114,54.9882288,83.0432647
14/1,улица Ключ-Камышенское Плато,630114,54.9882244,83.0433229
7/1,улица Ключ-Камышенское Плато,630114,54.9870036,83.0409886
150/1,1-я Чулымская улица,630029,55.0141787,82.8856337
158,1-я Чулымская улица,630029,55.0150169,82.8869386
19,2-я Шоссейная улица,630029,55.0069237,82.9012401
6А,Чулымская улица,630029,55.0094186,82.9093029
56,1-я Чулымская улица,630029,55.0108951,82.9013313
34,улица Ключ-Камышенское Плато,630114,54.9882938,83.0488506
14,улица Ключ-Камышенское Плато,630114,54.9883901,83.0465259
27/1,Заречная улица,630030,54.9797475,83.0559912
122/3,Выборная улица,630126,55.0001772,83.0122487
122/3,Выборная улица,630126,55.0000843,83.0120635
2А,улица Ключ-Камышенское Плато,630114,54.9857377,83.0383016
117/3,Выборная улица,630126,55.0031375,83.0187003
13,улица Ключ-Камышенское Плато,630114,54.9896548,83.0406670
64/1,Советская улица,630091,55.0488800,82.9121710
32/1,улица Бронная,630022,54.9436614,82.9647227
122/3,Выборная улица,630126,54.9999698,83.0123872
274,улица Дуси Ковальчук,630049,55.0583159,82.9161710
191,улица Зорге,630106,54.9351862,82.9162707
191,улица Зорге,630106,54.9352124,82.9156926
179,улица Зорге,630119,54.9347650,82.9207039
38А,улица Петухова,630088,54.9406395,82.9039993
41А,Русская улица,630058,54.8483849,83.0566101
32,улица Сибиряков-Гвардейцев,630048,54.9766451,82.8962620
9,Кавалерийская улица,630105,55.0578841,82.9211938
80,Тульская улица,630087,54.9783573,82.9177034
80,Тульская улица,630087,54.9776494,82.9164928
147/3,улица Немировича-Данченко,630087,54.9811795,82.9124774
1А,улица Зорге,630088,54.9382896,82.8988342
22,улица Ключ-Камышенское Плато,630114,54.9846482,83.0417585
122/3,Выборная улица,630126,55.0000848,83.0119820
122/3,Выборная улица,630126,55.0000553,83.0119770
122/3,Выборная улица,630126,55.0001460,83.0120245
122/3,Выборная улица,630126,55.0001196,83.0121865
122/3,Выборная улица,630126,55.0000631,83.0121248
122/3,Выборная улица,630126,55.0001196,83.0121017
122/3,Выборная улица,630126,55.0000313,83.0121248
14,улица Ключ-Камышенское Плато,630114,54.9883053,83.0459862
7А,улица Александра Чистякова,630022,54.9460938,82.9632944
18,Вилюйская улица,630126,54.9991601,83.0068912
18,Вилюйская улица,630126,54.9992944,83.0068000
60,2-я улица Марата,630030,54.9798000,83.0587758
60,2-я улица Марата,630030,54.9797861,83.0588526
60,2-я улица Марата,630030,54.9797833,83.0586380
60,2-я улица Марата,630030,54.9798598,83.0589875
60,2-я улица Марата,630030,54.9798717,83.0590556
60,2-я улица Марата,630030,54.9798322,83.0591313
122/3,Выборная улица,630126,55.0000650,83.0122568
122/3,Выборная улица,630126,55.0000204,83.0122889
122/3,Выборная улица,630126,54.9999935,83.0121776
122/3,Выборная улица,630126,55.0000173,83.0122071
122/3,Выборная улица,630126,54.9999996,83.0121374
7,проспект Димитрова,630132,55.0344929,82.9114643
2,Бердское шоссе,630025,54.9703324,83.0376054
25/1,улица Пирогова,630090,54.8490131,83.0904555
271В,улица Ключ-Камышенское Плато,630114,54.9893866,83.0392082
271В/2,Пролетарская улица,630114,54.9896845,83.0393354
60,2-я улица Марата,630030,54.9798215,83.0589258
14,улица Ключ-Камышенское Плато,630114,54.9876914,83.0461788
14,улица Ключ-Камышенское Плато,630114,54.9874929,83.0459910
14,улица Ключ-Камышенское Плато,630114,54.9875498,83.0460500
271/3,Пролетарская улица,630114,54.9900632,83.0384549
45,Первомайская улица,630046,54.9720985,83.0802259
29,улица Ватутина,630064,54.9831892,82.8971100
18,Вилюйская улица,630126,55.0001037,83.0094657
"271В, пом. 3",Пролетарская улица,630114,54.9894761,83.0391633
"271В, пом. 10",Пролетарская улица,630114,54.9890983,83.0389128
"271В, пом. 9",Пролетарская улица,630114,54.9891016,83.0390284
"271В, пом. 8",Пролетарская улица,630114,54.9891532,83.0391425
28,улица Восход,630102,55.0139915,82.9443738
71,улица Мира,630033,54.9612788,82.9362755
9А,Бердский тупик,630058,54.8360786,83.0491409
18,улица Ленина,630004,55.0296238,82.9119419
19,проспект Строителей,630055,54.8599006,83.0852705
7/1,Лесосечная улица,630060,54.8910002,83.0909144
260,Большая улица,630032,55.0072600,82.8770646
44А,2-я Станционная улица,630041,55.0133667,82.8073959
48,2-я Станционная улица,630041,55.0147250,82.8047051
15,улица Челюскинцев,630132,55.0393179,82.9036201
2/2,Лесосечная улица,630060,54.8895640,83.0767242
2 к4,Лесосечная улица,630060,54.8896505,83.0769217
"271В, пом. 1",Пролетарская улица,630114,54.9895404,83.0390299
"271В, пом. 11",Пролетарская улица,630114,54.9893386,83.0390616
"1/1, 2 этаж",улица Ключ-Камышенское Плато,630114,54.9808941,83.0350218
"1/1, 1 этаж",улица Ключ-Камышенское Плато,630114,54.9807624,83.0350607
290,Большевистская улица,630028,54.9767405,83.0244728
"271В, пом. 7",Пролетарская улица,630114,54.9892140,83.0391392
7/1,улица Ключ-Камышенское Плато,630114,54.9869954,83.0410243
37,улица Иванова,630117,54.8704998,83.0969046
"271В, пом. 12",Пролетарская улица,630114,54.9893619,83.0389984
"271В, пом. 13",Пролетарская улица,630114,54.9894185,83.0389964
79,улица Максима Горького,630099,55.0279012,82.9268484
87,улица Петухова,630000,54.9404882,82.9341242
"271В, пом. 4",Пролетарская улица,630114,54.9894386,83.0391709
"271В, пом. 2",Пролетарская улица,630114,54.9895603,83.0391601
15 к3,Кривощёковская улица,630007,55.0163078,82.9295807
21,Троллейная улица,630034,54.9846977,82.8586586
271В/2,Пролетарская улица,630114,54.9895951,83.0393521
10А,Беловежская улица,630024,54.9649200,82.8949051
7,проспект Димитрова,630004,55.0349801,82.9117852
13,улица Гоголя,630091,55.0440507,82.9233613
37,Красный проспект,630091,55.0344240,82.9188322
156,улица Немировича-Данченко,630087,54.9914431,82.9144191
"271В/1, пом. 001А",Пролетарская улица,630114,54.9891555,83.0393423
"271В/1, пом. 001",Пролетарская улица,630114,54.9892090,83.0393412
"271В, пом. 14-15",Пролетарская улица,630114,54.9894574,83.0390054
"3, 4 этаж, 44 офис",Каменская улица,630099,55.0260804,82.9283838
271В/2,Пролетарская улица,630114,54.9895744,83.0393587
2,площадь Карла Маркса,630087,54.9836631,82.8923297
40,улица Сибиряков-Гвардейцев,630048,54.9730925,82.8969339
130А,Троллейная улица,630107,54.9670746,82.8517114
83,улица Ватутина,630087,54.9762819,82.9102169
47,Первомайская улица,630046,54.9722060,83.0797681
34,Большевистская улица,630083,54.9980609,82.9611559
38/1,Выставочная улица,630073,54.9922333,82.8995350
80,Тульская улица,630087,54.9784171,82.9175711
122/3,улица Немировича-Данченко,630087,54.9783654,82.9138791
118/1,улица Немировича-Данченко,630048,54.9727192,82.9029436
30,улица Сибиряков-Гвардейцев,630048,54.9774340,82.8964626
150,улица Немировича-Данченко,630087,54.9909420,82.9141221
156,улица Немировича-Данченко,630087,54.9912669,82.9143470
271В/1,Пролетарская улица,630114,54.9893067,83.0393391
"271В, пом.5",Пролетарская улица,630114,54.9893134,83.0391359
271В/1,Пролетарская улица,630114,54.9894691,83.0393403
5А,улица Ключ-Камышенское Плато,630114,54.9885996,83.0395512
15/1,Красный проспект,630099,55.0257746,82.9211413
15/1,Красный проспект,630099,55.0257714,82.9210055
271В/1,Пролетарская улица,630114,54.9892568,83.0393334
271В,Пролетарская улица,630114,54.9893476,83.0391618
14/1,улица Ключ-Камышенское Плато,630114,54.9882712,83.0445005
55,Первомайская улица,630030,54.9763145,83.0437326
55,Первомайская улица,630030,54.9763169,83.0439835
55,Первомайская улица,630030,54.9763244,83.0434417
55,Первомайская улица,630030,54.9762760,83.0435174
55,Первомайская улица,630030,54.9763346,83.0440920
"55, 16 офис",Первомайская улица,630030,54.9763066,83.0434662
55,Первомайская улица,630030,54.9762518,83.0435542
55,Первомайская улица,630030,54.9763475,83.0439229
55,Первомайская улица,630030,54.9762970,83.0437886
55,Первомайская улица,630030,54.9762204,83.0435709
23,Каменская улица,630099,55.0323814,82.9276512
250,улица Дуси Ковальчук,630082,55.0558324,82.9037145
9А,Восточный посёлок,630108,54.9999350,82.8672451
23,Геодезическая улица,630087,54.9866489,82.9113623
23/2,Новогодняя улица,630087,54.9873255,82.9119253
7/1,улица Ключ-Камышенское Плато,630114,54.9869638,83.0408317
"271В, пом.7",Пролетарская улица,630114,54.9892744,83.0391591
5А,улица Ключ-Камышенское Плато,630114,54.9886079,83.0394916
12/1,Рябиновая улица,630126,55.0021635,83.0286073
107,улица Ватутина,630024,54.9634861,82.9357937
5,Вокзальная магистраль,630004,55.0342977,82.9048567
179/4,улица Дуси Ковальчук,630082,55.0605383,82.9138794
101,Красный проспект,630049,55.0560345,82.9120751
1,улица Курчатова,630129,55.1042683,82.9601671
2/2,проспект Дзержинского,630112,55.0466122,82.9574803
44,3-й Бронный переулок,630022,54.9450279,82.9591686
44,3-й Бронный переулок,630022,54.9449277,82.9592169
44,3-й Бронный переулок,630022,54.9449324,82.9590989
44,3-й Бронный переулок,630022,54.9450140,82.9590935
44,3-й Бронный переулок,630022,54.9450032,82.9591954
11/3,улица Ватутина,630078,54.9882549,82.8878685
5А,улица Николая Грицюка,630088,54.9366813,82.8449675
11/3,улица Ватутина,630078,54.9884123,82.8876084
11/3,улица Ватутина,630078,54.9883524,82.8877093
57,10-й Бронный переулок,630022,54.9452751,82.9517472
57,10-й Бронный переулок,630022,54.9453026,82.9517075
80,Тульская улица,630087,54.9783409,82.9167582
2,Инская улица,630102,55.0127906,82.9279910
13,Мошковский переулок,630901,55.1639269,82.9849564
26 к2,улица 9-й Гвардейской Дивизии,630045,54.9698944,82.8437344
26 к2,улица 9-й Гвардейской Дивизии,630045,54.9699791,82.8439436
52к1,улица Объединения,630029,55.0939481,82.9587262
